,Media,Text,Date,Compound,Positive,Neutral,Negative
320,@FoxNews,"JUST IN: Zachary Cruz, Parkland massacre suspect's brother, arrested for trespassing at school https://t.co/kujCrEzOsg",Mon Mar 19 23:48:31 +0000 2018,-0.4767,0.0,0.807,0.193
321,@FoxNews,.@newtgingrich: ¡°The fact is it wasn¡¯t @POTUS who fired McCabe. It was the Inspector General¡¯s report in the FBI¡­¡±¡­ https://t.co/35xjJVY7Vb,Mon Mar 19 23:42:07 +0000 2018,-0.5574,0.0,0.841,0.159
322,@FoxNews,".@newtgingrich: ¡°Mueller, in the end, is, I think, not going to have anything substantive about @POTUS, and in some¡­ https://t.co/jol02sSPSi",Mon Mar 19 23:40:19 +0000 2018,0.0,0.0,1.0,0.0
323,@FoxNews,"Florida teacher arrested after she threatened to 'blow everyone up' at school, cops say https://t.co/HowShyDypD",Mon Mar 19 23:31:03 +0000 2018,-0.7269,0.0,0.681,0.319
324,@FoxNews,.@marcthiessen: ¡°There is no privacy on the Internet.¡± #TheStory https://t.co/Su9gpTOSBM https://t.co/txni9BLjpP,Mon Mar 19 23:27:57 +0000 2018,-0.296,0.0,0.82,0.18
325,@FoxNews,".@GregAbbott_TX on the hunt for Austin, Texas bomber: ¡°Law enforcement at all levels are on top of this in a way bi¡­ https://t.co/574OxaEavh",Mon Mar 19 23:12:12 +0000 2018,0.2023,0.079,0.921,0.0
326,@FoxNews,.@FIU students return to campus for first time since bridge collapse https://t.co/ekhlBFQmgt,Mon Mar 19 23:04:04 +0000 2018,-0.4939,0.0,0.775,0.225
327,@FoxNews,"RT @MikeEmanuelFox: White House, Democrats trade offers to address 'dreamers'-from #SpecialReport tonight:
https://t.co/u4U05Ss3GF",Mon Mar 19 23:01:13 +0000 2018,0.0,0.0,1.0,0.0
328,@FoxNews,".@guypbenson: ""When you look at the McCabe firing, I think you can make a very strong case, based on the facts, tha¡­ https://t.co/R1uC8pypqt",Mon Mar 19 23:00:25 +0000 2018,0.2944,0.144,0.76,0.096
329,@FoxNews,".@MaraLiasson: ""I think what's happening is [@POTUS] is intent on discrediting the Mueller investigation so that wh¡­ https://t.co/doAafqRCnI",Mon Mar 19 22:55:48 +0000 2018,0.0,0.0,1.0,0.0
330,@FoxNews,".@MZHemingway on McCabe firing: ""It is never a good thing when your #2 at the @FBI is fired for bad behavior.""¡­ https://t.co/qtMQXB3a78",Mon Mar 19 22:49:52 +0000 2018,-0.898,0.0,0.588,0.412
331,@FoxNews,"""The U.S. government just hit a record, but not one with bragging rights. We are in debt. A lot of debt.""¡­ https://t.co/QEphN4nJ0X",Mon Mar 19 22:46:15 +0000 2018,-0.5023,0.0,0.854,0.146
332,@FoxNews,Mississippi enacts law banning most abortions after 15 weeks https://t.co/2l5tHo17no,Mon Mar 19 22:35:33 +0000 2018,0.0,0.0,1.0,0.0
333,@FoxNews,"During a speech on the opioid crisis in America on Monday, @POTUS called for ending sanctuary cities. https://t.co/Yxf2RHavha",Mon Mar 19 22:27:25 +0000 2018,-0.6249,0.0,0.796,0.204
334,@FoxNews,An 18-year-old gorilla at @phillyzoo hates to get his hands dirty. That¡¯s why he sometimes walks upright like a hum¡­ https://t.co/JjWYnnvUJn,Mon Mar 19 22:24:36 +0000 2018,-0.5106,0.099,0.672,0.229
335,@FoxNews,".@brithume: ""There's been a lot of criticism that the firing was rushed, but McCabe was on the verge of retirement.¡­ https://t.co/1X6PKgKMpi",Mon Mar 19 22:15:41 +0000 2018,-0.3919,0.0,0.831,0.169
336,@FoxNews,.@lizpeek: @HillaryClinton's latest excuse: Stepford wives cost me the election https://t.co/Dv7VWg2ibU,Mon Mar 19 22:08:45 +0000 2018,0.0772,0.115,0.885,0.0
337,@FoxNews,Are some states headed for Splitsville? Movement grows to allow sections of states to break away https://t.co/H8UNrAD2wW,Mon Mar 19 22:00:08 +0000 2018,0.2263,0.106,0.894,0.0
338,@FoxNews,.@facebook exploring forensic audits to investigate Cambridge Analytica claims https://t.co/Su9gpTOSBM,Mon Mar 19 21:54:09 +0000 2018,0.0,0.0,1.0,0.0
339,@FoxNews,".@JesseBWatters on @HillaryClinton's apology after comments about Trump voters: ¡°We like authentic Hillary, even if¡­ https://t.co/vxz1LrqfqV",Mon Mar 19 21:47:01 +0000 2018,0.4019,0.209,0.791,0.0
340,@FoxNews,It was a special day at @dollysstampede? as Sgt. Bryan Samsel surprised his wife after returning home from a year o¡­ https://t.co/c7aTQu0toD,Mon Mar 19 21:44:08 +0000 2018,0.5574,0.204,0.796,0.0
341,@FoxNews,"Self-driving Uber car kills Arizona pedestrian, police say https://t.co/nLr9zucd1I",Mon Mar 19 21:31:49 +0000 2018,-0.5829,0.0,0.679,0.321
342,@FoxNews,.@kimguilfoyle on possibility of @POTUS firing Mueller: ¡°Let them complete the investigation. I don¡¯t see any upsid¡­ https://t.co/Y2E6Ft4Bmu,Mon Mar 19 21:20:31 +0000 2018,-0.34,0.0,0.87,0.13
343,@FoxNews,"During a speech about new efforts to fight the opioid crisis on Monday, @POTUS once again called for a border wall,¡­ https://t.co/5NUOAb2EGz",Mon Mar 19 21:12:12 +0000 2018,-0.7717,0.0,0.729,0.271
344,@FoxNews,Supreme Court keeps revised Pennsylvania congressional map in place https://t.co/eJLYkE8opo,Mon Mar 19 20:45:54 +0000 2018,0.5574,0.286,0.714,0.0
345,@FoxNews,Massachusetts @BurgerKing removes sign about overdosing after complaints https://t.co/njic1cdECW,Mon Mar 19 20:36:29 +0000 2018,-0.4019,0.0,0.748,0.252
